time=    0, Simulation Start
time=    0, Starting Reset
time=   52, Reset Completed
time=   52, Starting Test
time=   52, Starting Semi Random Test
Time=56 Error dut: Q=xxxx, rco=1, scoreboard: Q=0000, rco=1
Time=60 Error dut: Q=xxx1, rco=1, scoreboard: Q=0000, rco=1
Time=64 Error dut: Q=xxx1, rco=1, scoreboard: Q=0001, rco=0
Time=68 Error dut: Q=xxx1, rco=1, scoreboard: Q=0010, rco=0
Time=72 Error dut: Q=xxx1, rco=1, scoreboard: Q=0011, rco=0
Time=76 Error dut: Q=xxx1, rco=1, scoreboard: Q=0100, rco=0
Time=80 Error dut: Q=1111, rco=1, scoreboard: Q=0100, rco=0
Time=84 Error dut: Q=1111, rco=1, scoreboard: Q=0101, rco=0
Time=88 Error dut: Q=1111, rco=1, scoreboard: Q=0110, rco=0
Time=92 Error dut: Q=1111, rco=0, scoreboard: Q=0111, rco=0
time=  132, Starting Completely Random Test
Time=136 Error dut: Q=xx00, rco=x, scoreboard: Q=1011, rco=0
Time=140 Error dut: Q=xx00, rco=x, scoreboard: Q=0011, rco=1
Time=144 Error dut: Q=xx00, rco=x, scoreboard: Q=0010, rco=1
Time=148 Error dut: Q=xx00, rco=x, scoreboard: Q=0010, rco=1
Time=152 Error dut: Q=xx01, rco=x, scoreboard: Q=0011, rco=1
Time=156 Error dut: Q=1111, rco=0, scoreboard: Q=0011, rco=1
Time=160 Error dut: Q=1111, rco=0, scoreboard: Q=0011, rco=1
Time=164 Error dut: Q=1111, rco=0, scoreboard: Q=0011, rco=1
Time=168 Error dut: Q=1111, rco=0, scoreboard: Q=0011, rco=1
Time=172 Error dut: Q=1111, rco=0, scoreboard: Q=1011, rco=1
Time=176 Error dut: Q=1111, rco=0, scoreboard: Q=1011, rco=1
Time=180 Error dut: Q=x001, rco=0, scoreboard: Q=1011, rco=1
Time=184 Error dut: Q=x001, rco=0, scoreboard: Q=1011, rco=1
Time=188 Error dut: Q=x001, rco=0, scoreboard: Q=1000, rco=0
Time=192 Error dut: Q=x001, rco=0, scoreboard: Q=0101, rco=0
Time=196 Error dut: Q=1111, rco=0, scoreboard: Q=0010, rco=0
Time=200 Error dut: Q=1111, rco=0, scoreboard: Q=0010, rco=0
Time=204 Error dut: Q=1111, rco=0, scoreboard: Q=1111, rco=1
PASS
Time=212 Error dut: Q=1111, rco=1, scoreboard: Q=1100, rco=0
Time=216 Error dut: Q=1110, rco=1, scoreboard: Q=1100, rco=0
Time=220 Error dut: Q=1110, rco=0, scoreboard: Q=1001, rco=0
Time=224 Error dut: Q=1110, rco=0, scoreboard: Q=0110, rco=0
Time=228 Error dut: Q=1110, rco=0, scoreboard: Q=0101, rco=0
Time=232 Error dut: Q=1110, rco=0, scoreboard: Q=0101, rco=0
Time=236 Error dut: Q=1110, rco=0, scoreboard: Q=0100, rco=0
Time=240 Error dut: Q=1100, rco=0, scoreboard: Q=0100, rco=0
Time=244 Error dut: Q=1100, rco=0, scoreboard: Q=0100, rco=0
Time=248 Error dut: Q=1100, rco=0, scoreboard: Q=0011, rco=0
Time=252 Error dut: Q=1000, rco=0, scoreboard: Q=0011, rco=0
Time=256 Error dut: Q=1000, rco=0, scoreboard: Q=0010, rco=0
Time=260 Error dut: Q=1000, rco=0, scoreboard: Q=0001, rco=0
Time=264 Error dut: Q=1000, rco=1, scoreboard: Q=0001, rco=0
Time=268 Error dut: Q=1001, rco=1, scoreboard: Q=0000, rco=0
Time=272 Error dut: Q=1001, rco=1, scoreboard: Q=1101, rco=1
Time=276 Error dut: Q=1001, rco=1, scoreboard: Q=1101, rco=1
Time=280 Error dut: Q=1001, rco=0, scoreboard: Q=1101, rco=1
Time=284 Error dut: Q=1001, rco=0, scoreboard: Q=1101, rco=1
Time=288 Error dut: Q=1001, rco=0, scoreboard: Q=1010, rco=0
Time=292 Error dut: Q=1001, rco=0, scoreboard: Q=0111, rco=0
Time=296 Error dut: Q=0001, rco=0, scoreboard: Q=0100, rco=0
PASS
Time=304 Error dut: Q=0001, rco=1, scoreboard: Q=0001, rco=0
Time=308 Error dut: Q=0011, rco=1, scoreboard: Q=1110, rco=1
Time=312 Error dut: Q=0011, rco=1, scoreboard: Q=1110, rco=1
Time=316 Error dut: Q=0010, rco=0, scoreboard: Q=1110, rco=1
Time=320 Error dut: Q=0010, rco=0, scoreboard: Q=1101, rco=0
Time=324 Error dut: Q=1110, rco=0, scoreboard: Q=1101, rco=0
Time=328 Error dut: Q=1110, rco=0, scoreboard: Q=1101, rco=0
Time=332 Error dut: Q=1110, rco=0, scoreboard: Q=1101, rco=0
Time=336 Error dut: Q=1110, rco=0, scoreboard: Q=1101, rco=0
