time=    0, Simulation Start
time=    0, Starting Reset
time=  160, Reset Completed
time=  160, Starting Test
time=  160, Starting Semi Random Test
Time=200 Error dut: Q=1111, rco=1, scoreboard: Q=0000, rco=1
Time=240 Error dut: Q=1110, rco=1, scoreboard: Q=0000, rco=1
Time=280 Error dut: Q=1111, rco=1, scoreboard: Q=0001, rco=0
Time=320 Error dut: Q=1111, rco=0, scoreboard: Q=0010, rco=0
Time=360 Error dut: Q=0000, rco=1, scoreboard: Q=0011, rco=0
Time=400 Error dut: Q=0001, rco=1, scoreboard: Q=0100, rco=0
Time=440 Error dut: Q=0000, rco=0, scoreboard: Q=0100, rco=0
Time=480 Error dut: Q=1111, rco=0, scoreboard: Q=0101, rco=0
Time=520 Error dut: Q=0001, rco=0, scoreboard: Q=0110, rco=0
Time=560 Error dut: Q=0000, rco=1, scoreboard: Q=0111, rco=0
time=  960, Starting Completely Random Test
Time=1000 Error dut: Q=1111, rco=0, scoreboard: Q=1011, rco=0
Time=1040 Error dut: Q=0001, rco=0, scoreboard: Q=0011, rco=1
Time=1080 Error dut: Q=0001, rco=1, scoreboard: Q=0010, rco=1
Time=1120 Error dut: Q=0000, rco=1, scoreboard: Q=0010, rco=1
Time=1160 Error dut: Q=1111, rco=1, scoreboard: Q=0011, rco=1
Time=1200 Error dut: Q=0010, rco=1, scoreboard: Q=0011, rco=1
Time=1240 Error dut: Q=0010, rco=1, scoreboard: Q=0011, rco=1
Time=1280 Error dut: Q=0010, rco=1, scoreboard: Q=0011, rco=1
Time=1320 Error dut: Q=0010, rco=1, scoreboard: Q=0011, rco=1
Time=1360 Error dut: Q=1110, rco=1, scoreboard: Q=1011, rco=1
Time=1400 Error dut: Q=1010, rco=1, scoreboard: Q=1011, rco=1
Time=1440 Error dut: Q=1010, rco=1, scoreboard: Q=1011, rco=1
Time=1480 Error dut: Q=1010, rco=1, scoreboard: Q=1011, rco=1
Time=1520 Error dut: Q=1111, rco=1, scoreboard: Q=1000, rco=0
Time=1560 Error dut: Q=0111, rco=0, scoreboard: Q=0101, rco=0
Time=1600 Error dut: Q=0100, rco=0, scoreboard: Q=0010, rco=0
Time=1640 Error dut: Q=0100, rco=0, scoreboard: Q=0010, rco=0
Time=1680 Error dut: Q=1111, rco=0, scoreboard: Q=1111, rco=1
Time=1720 Error dut: Q=1000, rco=0, scoreboard: Q=1111, rco=1
Time=1760 Error dut: Q=1111, rco=0, scoreboard: Q=1100, rco=0
Time=1800 Error dut: Q=0100, rco=0, scoreboard: Q=1100, rco=0
Time=1840 Error dut: Q=1111, rco=0, scoreboard: Q=1001, rco=0
Time=1880 Error dut: Q=1001, rco=0, scoreboard: Q=0110, rco=0
Time=1920 Error dut: Q=1100, rco=0, scoreboard: Q=0101, rco=0
Time=1960 Error dut: Q=0000, rco=0, scoreboard: Q=0101, rco=0
Time=2000 Error dut: Q=1111, rco=0, scoreboard: Q=0100, rco=0
Time=2040 Error dut: Q=1110, rco=0, scoreboard: Q=0100, rco=0
Time=2080 Error dut: Q=1110, rco=0, scoreboard: Q=0100, rco=0
